admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,2346,PZL-Mielec M28-05 Skytruck,PZL-Mielec ,M
1,2347,Dornier 328JET-310,Dornier ,C
1,2348,Boeing 737-7H4 (WL),Boeing ,C
1,2349,Antonov An-140-100,Antonov ,C
1,2350,Beech B300 King Air 350,Beech ,C
1,2351,Boeing 767-338ER,Boeing ,C
1,2352,Dassault Falcon 20C-5,Dassault ,C
1,2353,Lockheed L-1329-23E JetStar 8,Lockheed ,C
1,2354,ATR 72-212A (ATR 72-500),ATR ,C
1,2355,Boeing 737-6D6,Boeing ,C
1,2356,Antonov An-74TK-200,Antonov ,M
1,2357,Boeing 727-2F2F,Boeing ,C
1,2358,Boeing 747-430,Boeing ,C
1,2359,Lockheed Hercules C.1P (C-130K),Lockheed ,M
1,2360,BAe 3101 Jetstream 31EP,British Aerospace,C
1,2361,Dornier 328JET-300,Dornier ,C
1,2362,Boeing 747-2U3BSF,Boeing ,C
1,2363,Boeing 737-301F,Boeing ,C
1,2364,Boeing 737-430,Boeing ,C
1,2365,Excel-Jet Sport-Jet,Excel-Jet ,C
1,2366,Cessna 560 Citation Encore,Cessna ,C
1,2367,Hawker Siddeley DH-125-3A,Hawker ,C
1,2368,Beriev Be-200ChS,Beriev ,C
1,2369,Tupolev Tu-134,Tupolev ,M
1,2370,Embraer EMB-135ER (ERJ-135ER),Embraer ,C
1,2371,Spectrum Aeronautical Spectrum 33,Spectrum ,C
1,2372,MD-10-10F,McDonnell Douglas,C
1,2373,DHC-3T Texas Turbine Otter,De Havilland Canada,C
1,2374,Swearingen SA227-BC Metro III,Swearingen ,M
1,2375,Boeing 727-224F,Boeing ,C
1,2376,Raytheon Hawker 800XP,Raytheon ,C
1,2377,Airbus A319-112,Airbus ,C
1,2378,Embraer ERJ-170,Embraer ,C
1,2379,Boeing 737-8EH,Boeing ,C
1,2380,Embraer EMB-135BJ Legacy 600,Embraer ,C
1,2381,Nord 262A-42,Nord ,C
1,2382,BAe 3202 Jetstream 32,British Aerospace,C
1,2383,Beech 200T Super King Air,Beech ,M
1,2384,Yakovlev Yak-40A,Yakovlev ,C
1,2385,BN-2T Turbine Islander,Britten-Norman,M
1,2386,CASA C-212 Aviocar 400,CASA ,M
1,2387,NAMC YS-11A-600,NAMC ,C
1,2388,PZL An-28,PZL ,C
1,2389,Antonov An-74T-200,Antonov ,C
1,2390,ATR 72-201,ATR ,C
1,2391,Grob G.180A SPn,Grob ,C
1,2392,Boeing 747SP-94,Boeing ,C
1,2393,T-39A Sabreliner,Sabreliner,C
1,2394,Boeing 737-3A4,Boeing ,C
1,2395,DHC-5 Buffalo,De Havilland Canada,C
1,2396,CT-39A-1-NA Sabreliner,Sabreliner,C
1,2397,Boeing 737-200,Boeing ,C
1,2398,Lockheed Hercules C.4 (C-130J-30),Lockheed ,M
1,2399,Canadair CRJ-100SE,Canadair ,C
1,2400,Boeing 737-33A,Boeing ,C
1,2401,Boeing 777-222ER,Boeing ,C
1,2402,Boeing 737-497,Boeing ,C
1,2403,Airbus A310-325,Airbus ,C
1,2404,Airbus A300B4-203,Airbus ,M
1,2405,Dassault Falcon 900C,Dassault ,C
1,2406,Boeing 737-82R,Boeing ,C
1,2407,Boeing 737-8AL,Boeing ,C
1,2408,Shorts 330UTT,Short ,M
1,2409,BAe ATP-F,British Aerospace,C
1,2410,DC 10-10,McDonnell Douglas,C
1,2411,Boeing 737-8AS (WL),Boeing ,C
1,2412,Airbus A320-233,Airbus ,C
1,2413,Embraer ERJ-190,Embraer ,C
1,2414,Boeing 777-236,Boeing ,C
1,2415,Boeing 737-809,Boeing ,C
1,2416,Rockwell Sabreliner 70,Rockwell ,C
1,2417,Cessna 525B CitationJet CJ3,Cessna ,C
1,2418,Grumman American G-1159 Gulfstream,Grumman ,M
1,2419,Let L-410UVP-E10A,Let ,C
1,2420,Boeing 737-85P,Boeing ,C
1,2421,Hawker 800XP,Hawker ,C
1,2422,Airbus A340-642,Airbus ,C
1,2423,Bombardier Global 5000,Bombardier ,C
1,2424,Airbus A340-642X,Airbus ,C
1,2425,Cessna 510 Citation Mustang,Cessna ,C
1,2426,Boeing 737-38J,Boeing ,C
1,2427,BN-2A-6R Islander,Britten-Norman,C
1,2428,CASA C-295M,CASA ,M
1,2429,DHC-8-202,De Havilland Canada,C
1,2430,Boeing 727-259,Boeing ,C
1,2431,Boeing 747-2D7B,Boeing ,C
1,2432,Boeing 717-23S,Boeing ,C
1,2433,Airbus A319-111,Airbus ,C
1,2434,Dornier 328-100,Dornier ,C
1,2435,Boeing 737-408,Boeing ,C
1,2436,Boeing 737-8D6,Boeing ,C
1,2437,Boeing 747-209F,Boeing ,C
1,2438,Cessna 750 Citation X,Cessna ,C
1,2439,Lockheed C-130H2 Hercules,Lockheed ,M
1,2440,Boeing 767-281SF,Boeing ,C
1,2441,Boeing 747-209BSF,Boeing ,C
1,2442,Bombardier CRJ-701ER,Bombardier ,C
1,2443,Let L-410UVP-E9,Let ,M
1,2444,Boeing 737-282,Boeing ,C
1,2445,Boeing 727-227,Boeing ,M
1,2446,Boeing 737-4M0,Boeing ,C
1,2447,Eclipse 500,Eclipse ,C
1,2448,Dornier 228-202K,Dornier ,C
1,2449,Boeing 737-219,Boeing ,C
1,2450,Boeing 737-505,Boeing ,C
1,2451,Beech A200 Super King Air,Beech ,C
1,2452,Airbus A330-303,Airbus ,C
1,2453,CASA C-212 Aviocar 300,CASA ,M
1,2454,Boeing 747-228F (SCD),Boeing ,C
1,2455,Dassault Falcon 900EX,Dassault ,C
1,2456,Learjet 45XR,Learjet ,C
1,2457,Xian MA60,Xian ,C
1,2458,IAI 1126 Galaxy,IAI ,C
1,2459,Bombardier Global Express,Bombardier ,C
1,2460,HESA IrAn-140-100,HESA ,C
1,2461,Boeing 737-8F2,Boeing ,C
1,2462,National Aerospace Laboratories (NA,National ,C
1,2463,Airbus A340-541,Airbus ,C
1,2464,PZL-Mielec M28TD Bryza 2RF,PZL-Mielec ,M
1,2465,Boeing 737-8AS,Boeing ,C
1,2466,Boeing 767-36NER,Boeing ,C
1,2467,Bombardier DHC-8-402Q Dash 8,Bombardier ,C
1,2468,Boeing 747-48EF,Boeing ,C
1,2469,ATR 42-500,ATR ,C
1,2470,Airbus A330-203,Airbus ,C
1,2471,Learjet 40,Learjet ,C
1,2472,BAe 3201 Jetstream 31,British Aerospace,C
1,2473,Boeing 737-881 (WL),Boeing ,C
1,2474,Avcen Jetpod,Avcen ,C
1,2475,Ilyuhsin Il-76TD,Ilyushin ,M
1,2476,Boeing E-3C Sentry (707-300),Boeing ,M
1,2477,Boeing 747-437,Boeing ,C
1,2478,Boeing 737-852,Boeing ,C
1,2479,Ilyushin Il-76MD Simorgh,Ilyushin ,M
1,2480,BAe 4121 Jetstream 41,British Aerospace,C
1,2481,NAMC YS-11M-A-624,NAMC ,M
1,2482,Cessna UC-35A (Cessna 560 Citation,Cessna ,M
1,2483,Embraer Phenom 100,Embraer ,C
1,2484,Beech C-12C Huron,Beech ,M
1,2485,Antonov An-2TP,Antonov ,M
1,2486,Cessna C-98A Grand Caravan (208B),Cessna ,M
1,2487,PZL-Mielec M28-05PI Skytruck,PZL-Mielec ,M
1,2488,Boeing 727-230F,Boeing ,C
1,2489,CASA C-212-CB Aviocar 100,CASA ,C
1,2490,DHC-8-202Q Dash 8,De Havilland Canada,M
1,2491,Lockheed KC-130J Hercules,Lockheed ,M
1,2492,Boeing 727-222F,Boeing ,M
1,2493,BAe BAe-748-398 Srs. 2B,British Aerospace,C
1,2494,Boeing 737-301,Boeing ,C
1,2495,Boeing 737-823 (WL),Boeing ,C
1,2496,Airbus A330-323X,Airbus ,C
1,2497,Boeing 727-231F Super 27,Boeing ,C
